index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
31,Sr. Software Engineer,-1,-1,"Merriam-Webster, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
32,"Solutions Engineer, Software",-1,3.8,Liberty Mutual Insurance,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
33,Senior Software Engineer,$120K - $160K (Employer est.),-1,"Prime Trust, LLC",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
34,Software Engineer,$78K - $125K (Employer est.),-1,Clear C2,"Coppell, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
35,Software Engineer,-1,-1,"EchoNous, Inc","Redmond, WA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
36,Software Engineer,$90K - $125K (Employer est.),-1,Astrin Biosciences,"Saint Paul, MN",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
37,Sr Software Engineer,$105K - $169K (Glassdoor est.),4.4,ServiceNow,"Kirkland, WA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
38,"Senior Software Engineer, Maitland, FL",-1,-1,Brook Consultants Inc,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
39,Software Engineer,$115K - $135K (Employer est.),-1,Leaf Trade,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
40,Associate Software Engineer (Remote),$63K - $103K (Glassdoor est.),3.7,Epsilon,"Irving, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
41,Senior Software Engineer,$80K - $150K (Employer est.),-1,Doradus Labs,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
42,Software Engineer,$100K - $100K (Employer est.),4.1,Selby Jennings,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
43,Software Engineer,$130K (Employer est.),-1,Bravely,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
44,Software Engineer (Remote),$80K (Employer est.),3.4,OSMOSE UTILITIES SERVICES INC,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
45,Senior Software Engineer,$140K - $160K (Employer est.),-1,Leaf Trade,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
46,Senior Software Engineer,$120K - $150K (Employer est.),-1,Retail Benefits,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
47,(Software) Product Engineer,-1,-1,"Verinovum, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
48,Software Development Manager - IBM i (AS/400),$85K - $125K (Employer est.),-1,DMS Systems Corp.,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
49,Senior Software Engineer,$110K - $150K (Employer est.),4.1,OBMedia,"Chicago, IL",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
50,2022 Software Engineer,$98K - $211K (Glassdoor est.),4.1,Bloomberg,"New York, NY",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
51,Senior Software Engineer,$150K (Employer est.),3.8,All Web Leads,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
52,Senior Software Engineer,$90K - $140K (Employer est.),-1,OPTX,Nevada,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
53,Senior Lead Software Engineer,$125K - $140K (Employer est.),4.8,American LegalNet,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
54,Software Engineer,$140K - $204K (Employer est.),4.3,Indeed,"Sunnyvale, CA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
55,Software Engineer,$60K - $128K (Glassdoor est.),3.9,"Tyler Technologies, Inc.","Lubbock, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
56,Software Engineer,$60K - $106K (Glassdoor est.),3.7,Horizontal Talent,"Saint Paul, MN",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
57,Senior Software Engineer,$110K - $140K (Employer est.),3.7,New Visions for Public Schools,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
58,Software Development Engineer - Sitecore,-1,3.4,Select Specialty Hospital,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
59,Senior Software Engineer,$140K (Employer est.),2.2,QuickBox Fulfillment,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
60,"Software Engineer I, II, III, or Senior",$51K - $105K (Glassdoor est.),3.8,Alaska USA Federal Credit Union,"Anchorage, AK",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
61,Senior Software Engineer,$120K - $160K (Employer est.),-1,"Prime Trust, LLC",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
62,Software Engineer,$78K - $125K (Employer est.),-1,Clear C2,"Coppell, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
63,Senior Software Engineer,$110K - $150K (Employer est.),4.1,OBMedia,"Ithaca, NY",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
64,Associate Software Engineer (Remote),$63K - $103K (Glassdoor est.),3.7,,"Irving, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
65,Senior Software Engineer,$81K - $137K (Glassdoor est.),3.9,"Tyler Technologies, Inc.","Yarmouth, ME",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
66,Software Developer,$64K - $130K (Glassdoor est.),3.9,"Tyler Technologies, Inc.","Lubbock, TX",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
67,React Focused Software Engineer,$165K (Employer est.),4.8,Strategic Employment Partners,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
68,Front End Software Engineer,-1,-1,"Encyclopaedia Britannica, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
69,Engineer I - Drake Software,-1,-1,Confidential,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
70,Software Engineer,$109K - $159K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
71,Software Engineer,$68K - $114K (Employer est.),4.2,ManTech International Corporation,"Chambersburg, PA",10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
72,Software Engineer - Nationwide,-1,-1,"Sun West Mortgage Company, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
73,Software Engineer 3,$125K (Employer est.),3.4,Homecare Homebase,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
74,Software Engineer,$80K - $115K (Employer est.),-1,Hospice Tools,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
75,Sr. Software Engineer - Permanent Remote,-1,4.3,Xero,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
76,Sr. Software Engineer,$110K - $135K (Employer est.),3.6,Les Schwab,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
77,Software Engineer - Remote,-1,4.6,"Medisolv, Inc.",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
78,Embedded Software Engineer,-1,3.9,Oculus,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
79,Senior Software Engineer,$109K - $159K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
80,Software Engineer,-1,-1,"Aperia Technologies, Inc",Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
81,Software Engineer (.NET),-1,4.2,AVB,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
82,Full Stack Software Engineer (remote),$132K - $192K (Employer est.),4.3,Indeed,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
83,Software Engineer,$80K - $150K (Employer est.),-1,TrapWire Inc.,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
84,Experienced Software Developer/Engineer,-1,4.7,"Counterpointe Solutions, Inc.",North Carolina,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
85,Software Engineer (2 years exp. req.).),$74K - $124K (Employer est.),-1,Osprey Software Development,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
86,Lead Software Engineer,$150K - $190K (Employer est.),4.3,SoundExchange,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
87,Senior Software Engineer,$140K (Employer est.),3.4,Homecare Homebase,Remote,10000+ Employees,1927,Food & Beverage Stores,Food & Beverage Stores,$1 to $2 billion (USD),Company - Private
