index,job_title,salary_estimate,Rating,company_name,Location,Size,founded,industry,sector,revenue,type_of_ownership
85,Data Scientist,$85K - $130K (Employer est.),3.9,Brightwing,Remote,51 to 200 Employees,1973,Staffing & Outsourcing,Staffing & Outsourcing,$5 to $10 million (USD),Company - Private
86,Dir Data Analytics 1,$167K - $250K (Employer est.),4.0,Northrop Grumman,Maryland,10000+ Employees,1939,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Company - Public
87,"Data Scientist, Strategic Planning",$67K - $124K (Glassdoor est.),-1,Wonder,"New York, NY",1 to 50 Employees,Company - Private,-1,-1,-1,Unknown / Non-Applicable
88,Data Scientist,$120K - $130K (Employer est.),4.1,Systems Personnel,"Buffalo, NY",1 to 50 Employees,1996,Staffing & Outsourcing,Staffing & Outsourcing,$5 to $10 million (USD),Company - Private
89,Data Scientist,$75 Per Hour(Employer est.),4.0,Insight Global,Remote,1001 to 5000 Employees,2001,Staffing & Outsourcing,Staffing & Outsourcing,$1 to $5 million (USD),Company - Private
90,Data Scientist,$65K (Employer est.),-1,Opanga Networks,"Seattle, WA",-1,-1,-1,-1,-1,-1
91,"AI/ML - Annotation Analyst, Spanish Language",-1,4.3,Apple,"Austin, TX",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
92,Geospatial Data Scientist,$145K - $175K (Employer est.),-1,EpochGeo,"Reston, VA",-1,-1,-1,-1,-1,-1
93,Senior Data Scientist/Machine Learning Software Engineer,$90K (Employer est.),-1,Nearly Human AI,"Harrisburg, PA",-1,-1,-1,-1,-1,-1
94,Machine Learning Engineer,$80K - $125K (Employer est.),-1,Vadum Inc,"Raleigh, NC",-1,-1,-1,-1,-1,-1
95,AI/ML Annotation Analyst - Brazilian Portuguese Language,-1,4.3,Apple,"Austin, TX",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
96,"AI/ML - Annotation Analyst, Hebrew Language",-1,4.3,Apple,"San Diego, CA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
97,"AI/ML - Annotation Analyst, Russian Language",-1,4.3,Apple,"Austin, TX",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
98,"Staff Data Scientist, Customer Analytics",$94K - $164K (Glassdoor est.),4.5,Intuit,"San Diego, CA",5001 to 10000 Employees,1983,Computer Hardware & Software,Computer Hardware & Software,$5 to $10 billion (USD),Company - Public
99,"AI/ML - ML Applied Scientist, ML Platform & Technology",-1,4.3,Apple,"Seattle, WA",10000+ Employees,1976,Computer Hardware & Software,Computer Hardware & Software,$10+ billion (USD),Company - Public
100,Data Scientist (Remote - US),-1,3.4,Bon Secours Mercy Health,Ohio,10000+ Employees,2018,Health Care Services & Hospitals,Health Care Services & Hospitals,$5 to $10 billion (USD),Nonprofit Organization
101,Associate Artificial Intelligence Engineer,-1,3.7,The MITRE Corporation,"McLean, VA",5001 to 10000 Employees,1958,Federal Agencies,Federal Agencies,$1 to $2 billion (USD),Nonprofit Organization
102,Artificial Intelligence / Machine Learning Engineer,$150K (Employer est.),3.5,IkeGPS,"Broomfield, CO",51 to 200 Employees,Company - Public,Information Technology,Information Technology,-1,IT Services
103,"Senior Data Scientist, Emerging Areas Open to remote work, except in CO, SD, VT, AND WV",-1,4.1,NIKE INC,"Oregon City, OR",10000+ Employees,1972,Consumer Products Manufacturing,Consumer Products Manufacturing,$10+ billion (USD),Company - Public
